Date,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Keyword 6
2020-03-14,fed,proactive,mic,closure,refinance,microphone
2020-03-15,predict,federal_reserve,google,relax,store,doug
2020-03-16,postponing,symptom,friday_night,wash,rochelle,enhance
2020-03-17,payroll_tax,boeing,telehealth,tourism,screened,pop
2020-03-18,self_swab,calm,invincible,target,passenger,kaitlan
2020-03-19,syria,chloroquine,tice,mother,chaos,austin
2020-03-21,student_loan,penalty,inaccurately,buyback,religious_leader,hurting
2020-03-22,veteran,va,federal_medical_station,preexisting,rich,national_guard
2020-03-23,boeing,cure_worse_problem,watching_closely,exchange,learning,tradeoff
2020-03-24,timeline,independence,larry,large_section,established,easter
2020-03-25,steve,olympics,south_korea,specification,significance,romeo
2020-03-26,steel,brady,tom,south_korea,ninety-six,tape
2020-03-27,appreciative,peter,smartest,boeing,handle,leaving
2020-03-30,june_1st,rating,waive,three-hundred-thousand,twenty-two_million,depression
2020-03-31,scarf,guest,ride,impeached,oil,john
2020-04-01,cash,violence,train,logan,facebook,focused
2020-04-02,gesture,cut,flat,iran,bump,exist
2020-04-03,voter_id,eighty-one,voluntary,mail,oil,national_guard
2020-04-04,whistleblower,transcript,informer,commissioner,one-hundred-and-eighty,league
2020-04-05,one-hundred-and-eighty-two,sue,rushing,oil,sign,lupus
2020-04-06,letter,london,intensive,nuclear,replacement,copy
2020-04-08,delegate,bernie,memo,easter,voting,zinc
2020-04-09,oil,mental,scalia,storage,opec,proposal
2020-04-10,pastor,denver,interruption,mexico,world_trade_organization,human_trafficking
2020-04-13,january,committee,clip,january_17th,wuhan,31st
2020-04-15,judge,approved,sonny,session,nominee,recess
2020-04-16,count,wide,arena,devastated,capacity,sport
2020-04-19,swab,aroused,ran,pressure,hotel,fraud
2020-04-20,defending,squeeze,sustainable,sixty-thousand,rally,experiment
2020-04-22,corona,parlor,misquoted,ember,flu,rebound
2020-04-23,sun,heat,laboratory,surface,brian_kemp,harvard
2020-04-24,stephen,approving,declined,payment,tim,upward
2020-04-27,pharmacy,damage,attorney_general,general_flynn,quarter,doubled
